"XM_015766610.2","LOC4326813"
"XR_001542413.2","LOC4324913"
"XM_015765617.2","LOC4324913"
"XM_015765618.2","LOC4324914"
"XM_015784503.2","LOC4324916"
"XM_015765626.2","LOC4324917"
"XM_015765625.2","LOC4324917"
"XM_026022391.1","LOC4324917"
"XM_015765624.2","LOC4324918"
"XR_001542415.2","LOC4324919"
"XM_015765621.2","LOC4324919"
"XM_015765620.2","LOC4324919"
"XM_015778837.1","LOC4324921"
"XM_026022392.1","LOC4324921"
"XM_015778832.2","LOC4324921"
"XM_015766505.2","LOC4324922"
"XM_026022393.1","LOC4324922"
"XM_015766506.2","LOC4324922"
"XM_015766509.2","LOC4324923"
"XM_015766507.2","LOC4324955"
"XR_003240252.1","LOC4324956"
"XM_015773431.1","LOC4324956"
"XM_015773439.1","LOC4324956"
"XM_015773446.1","LOC4324956"
"XM_026022394.1","LOC112937608"
"XM_026026372.1","LOC112939346"
"XR_001544743.2","LOC9269943"
"XM_015776814.2","LOC9269943"
"XM_015784644.2","LOC4324958"
"XM_015787099.2","LOC4324959"
"XM_015778539.2","LOC4324960"
"XR_003243002.1","LOC4324961"
"XM_015766475.2","LOC4324962"
"XM_015766206.2","LOC4324963"
"XM_015766205.2","LOC4324964"
"XM_015776556.2","LOC4324965"
"XM_015776548.2","LOC4324965"
"XM_015776565.2","LOC4324965"
"XM_015759884.2","LOC4324967"
"XM_015780544.2","LOC4324968"
"XM_015778745.2","LOC9269196"
"XM_015765367.2","LOC4324970"
"XM_015765355.2","LOC9267167"
"XM_015791522.2","LOC4324972"
"XM_015791077.2","LOC4324972"
"XM_026022399.1","LOC4324972"
"XM_015791307.2","LOC4324972"
"XM_015791453.2","LOC4324972"
"XM_026022400.1","LOC4324972"
"XM_015766121.2","LOC4324973"
"XM_015766119.2","LOC4324973"
"XM_015766124.2","LOC4324973"
"XM_015766120.2","LOC4324973"
"XM_026022398.1","LOC4324973"
"XM_026022396.1","LOC4324973"
"XM_015766123.2","LOC4324973"
"XM_026022397.1","LOC4324973"
"XM_015766126.2","LOC4325096"
"XM_015766125.2","LOC4325097"
"XM_015759497.2","LOC9271934"
"XM_015759508.2","LOC4325100"
"XM_015792396.2","LOC107276811"
"XM_015771401.2","LOC9269568"
"XM_015767147.1","LOC4325102"
"XM_026022401.1","LOC4325102"
"XM_015794703.2","LOC4325103"
"XM_015794714.2","LOC4325104"
"XM_026022402.1","LOC112937609"
"XM_015794663.2","LOC4325105"
"XM_015794675.2","LOC4325106"
"XM_015794687.2","LOC4325106"
"XM_015773549.2","LOC4325107"
"XM_015760959.2","LOC4325108"
"XR_001546874.2","LOC107277813"
"XM_015788045.2","LOC107277813"
"XM_015788032.2","LOC107277813"
"XM_015765953.2","LOC4325109"
"XM_015768535.2","LOC4325110"
"XM_015768543.2","LOC4325110"
"XM_015768550.2","LOC4325110"
"XM_026022403.1","LOC4325110"
"XM_015768523.1","LOC4325111"
"XM_015780506.2","LOC4325112"
"XM_015766037.2","LOC4325113"
"XM_015765987.2","LOC4325028"
"XM_015765989.2","LOC4325028"
"XM_015765990.2","LOC4325029"
"XM_015765992.2","LOC4325029"
"XM_015765991.2","LOC4325029"
"XM_015791093.2","LOC4325030"
"XM_026022404.1","LOC4325030"
"XM_015757708.2","LOC4325031"
"XM_015766913.2","LOC4325033"
"XM_015766915.2","LOC4325033"
"XM_015766914.2","LOC4325033"
"XM_015774813.2","LOC4325034"
"XM_015778958.2","LOC4325035"
"XM_015765631.2","LOC4325036"
"XM_015784536.2","LOC4325037"
"XM_026025596.1","LOC107276728"
"XM_015758367.1","LOC4325038"
"XM_015758376.2","LOC4325039"
"XM_026022411.1","LOC4325039"
"XM_026022409.1","LOC4325039"
"XM_026022410.1","LOC4325039"
"XM_015758356.2","LOC4325040"
"XR_003240253.1","LOC112937610"
"XM_015756709.2","LOC4325041"
"XM_026022407.1","LOC4325042"
"XM_015774053.2","LOC4325042"
"XM_015774058.2","LOC4325042"
"XM_026022408.1","LOC4325042"
"unassigned_transcript_69","TRNAI-AAU_2"
"XM_026022413.1","LOC112935996"
"XR_003240254.1","LOC9270232"
"XR_003240255.1","LOC9270232"
"XM_026022412.1","LOC9270232"
"XM_015764775.2","LOC9266226"
"XM_015768895.2","LOC4325009"
"XM_015760769.2","LOC4325010"
"XR_001541223.1","LOC4325011"
"XM_015760762.2","LOC9266691"
"XM_015767428.2","LOC4325012"
"XM_015783264.2","LOC4325013"
"XM_015772372.2","LOC4325014"
"XM_015790891.2","LOC4325015"
"XM_015790713.2","LOC107281671"
"XM_026022414.1","LOC112937611"
"XR_003240364.1","LOC112937704"
"XM_026026453.1","LOC112939373"
"XM_015765406.2","LOC4325018"
"XR_001542382.2","LOC4325019"
"XM_015765407.2","LOC4325019"
"XM_015765404.1","LOC4325020"
"XM_015783171.2","LOC4325021"
"XM_015766531.2","LOC4325022"
"XM_026022415.1","LOC4325022"
"XR_003240257.1","LOC112937612"
"XM_015780152.2","LOC107280755"
"XM_015768960.2","LOC4325023"
"XM_015768953.2","LOC4325024"
"XM_015790172.2","LOC4325025"
"XM_015780518.2","LOC9272049"
"XM_015766349.2","LOC4325026"
"XM_015758323.2","LOC4325027"
"XM_015770064.2","LOC4324974"
"XM_015766641.2","LOC4324975"
"XR_001544580.1","LOC9270646"
"XM_015766565.2","LOC4324977"
"XM_015786777.2","LOC4324978"
"XM_015766903.2","LOC4324979"
"XM_015765891.2","LOC4324980"
"XM_015765892.2","LOC4324982"
"XM_015791316.2","LOC4324983"
"XM_026022418.1","LOC4324984"
"XM_026022417.1","LOC4324984"
"XM_015758960.2","LOC4324985"
"XM_015758971.2","LOC4324987"
"XM_015760975.2","LOC4324988"
"XM_015760997.2","LOC4324989"
"XM_015760989.1","LOC4324990"
"XM_015766521.1","LOC4324863"
"XM_026022419.1","LOC4324863"
"XM_015766520.2","LOC4324863"
"XM_015766519.2","LOC4324863"
"XM_015784594.2","LOC107276224"
"XM_015766522.2","LOC9272341"
"XM_015790137.2","LOC107277645"
"XM_015765976.2","LOC4324864"
"XM_026022421.1","LOC4324865"
"XM_015760899.2","LOC4324866"
"XM_015760882.2","LOC4324867"
"XM_015760892.2","LOC4324867"
"XM_026022420.1","LOC4324867"
"XR_003240260.1","LOC112937613"
"XR_003240261.1","LOC9266385"
"XR_001543461.2","LOC9266385"
"XR_001543472.2","LOC9266385"
"XR_001543475.2","LOC9266385"
"XR_001543476.2","LOC107280140"
"XR_001543703.2","LOC4324869"
"XR_001544984.1","LOC9271067"
"XM_015793045.2","LOC4324871"
"XM_015793052.2","LOC4324871"
"XM_015793060.2","LOC4324871"
"XM_015793030.2","LOC4324872"
"XM_015793066.2","LOC9271255"
"XM_015793077.2","LOC4324873"
"XM_015793102.1","LOC4324874"
"XR_001548000.2","LOC9271802"
"XM_015793086.2","LOC9271802"
"XM_026025648.1","LOC107281119"
"XM_015758155.1","LOC4324876"
"XM_015758160.2","LOC4324312"
"XM_026022423.1","LOC4324314"
"XM_026022422.1","LOC4324314"
"XM_015773832.2","LOC4324314"
"XM_015773825.2","LOC4324314"
"XM_015766025.1","LOC4324315"
"XM_015766026.1","LOC4324315"
"XM_015769740.2","LOC9272193"
"XM_026022424.1","LOC112937614"
"XM_015772712.2","LOC4324317"
"XM_015772720.2","LOC4324317"
"XM_015772899.2","LOC4324318"
"XM_015777294.2","LOC107278441"
"XM_015784616.1","LOC107276324"
"XM_015761118.1","LOC4324320"
"XM_015761102.2","LOC4324319"
"XM_015761108.2","LOC4324319"
"XM_015761128.2","LOC4324321"
"XM_015761091.2","LOC4324322"
"XR_001541290.2","LOC4324323"
"XM_015761083.2","LOC4324323"
"XM_015769547.2","LOC4324324"
"XM_015769542.2","LOC4324326"
"XM_015784629.2","LOC4324340"
"XM_015775550.2","LOC4324341"
"XM_015775561.2","LOC4324342"
"XM_015782835.2","LOC4324344"
"XM_026022432.1","LOC9271530"
"XM_026022433.1","LOC9271530"
"XM_026022431.1","LOC9271530"
"XM_026022428.1","LOC9271530"
"XM_026022429.1","LOC9271530"
"XM_026022427.1","LOC9271530"
"XM_026022425.1","LOC9271530"
"XM_026022426.1","LOC9271530"
"XM_026022430.1","LOC9271530"
"XM_015782735.2","LOC4324345"
"XM_015782658.2","LOC4324345"
"XM_015789996.2","LOC4324348"
"XM_015766363.1","LOC4324349"
"XR_001542870.2","LOC107276968"
"XM_015767659.2","LOC4324350"
"XM_015788342.2","LOC4324351"
"XM_015765565.2","LOC9266701"
"XR_001542409.2","LOC107277461"
"XM_015765562.2","LOC107277461"
"XM_015765563.2","LOC107277461"
"XM_015766441.2","LOC4324327"
"XM_015766440.2","LOC4324327"
"XR_001543411.2","LOC4324328"
"XM_015770109.2","LOC4324328"
"XM_015769999.2","LOC4324328"
"XM_015768857.2","LOC9266868"
"XM_015768013.2","LOC4324329"
"XM_015768021.2","LOC4324329"
"XM_015761170.2","LOC4324330"
"XM_015761161.2","LOC4324331"
"XM_015771908.2","LOC4324332"
"XM_015765800.2","LOC4324333"
"XM_015766567.2","LOC4324334"
"XM_015766568.1","LOC4324334"
"XM_015766569.2","LOC4324335"
"XM_015760265.2","LOC4324336"
"XM_015760274.2","LOC4324336"
"XR_003240262.1","LOC112937616"
"XM_026026522.1","LOC4324337"
"XM_015776151.2","LOC4324339"
"XM_015776302.2","LOC4324339"
"XM_015776230.2","LOC4324339"
"XM_015775952.2","LOC4324338"
"XM_015766854.2","LOC4324354"
"XM_015766942.2","LOC4324355"
"XM_015766941.2","LOC4324355"
"XM_026022435.1","LOC4324355"
"XM_015776137.2","LOC4324356"
"XM_015776144.2","LOC4324356"
"XM_015779832.2","LOC4324357"
"XM_015767087.2","LOC4324358"
"XM_015767103.2","LOC4324358"
"XM_015767095.2","LOC4324358"
"XM_015765444.2","LOC4324359"
"XM_015765443.1","LOC4324360"
"XM_015778789.2","LOC107280547"
"XM_015787549.2","LOC4324361"
"unassigned_transcript_70","TRNAA-AGC"
"XM_015787655.2","LOC107275911"
"XM_015784638.1","LOC9270578"
"XM_015766219.2","LOC4324364"
"XM_015766220.2","LOC4324364"
"XM_015786947.2","LOC4324365"
"XM_015786896.2","LOC4324365"
"XM_015765555.2","LOC4324366"
"XM_015765556.2","LOC4324366"
"XM_015765558.2","LOC4324366"
"XM_015765559.2","LOC4324366"
"XM_015765560.2","LOC4324366"
"XM_015765557.2","LOC4324366"
"XM_015766370.2","LOC4324367"
"XM_026022436.1","LOC4324367"
"XM_015766373.2","LOC4324368"
"XM_015766371.2","LOC4324368"
"XM_015766537.2","LOC4327738"
"XM_015766851.1","LOC4327739"
"XM_015766443.1","LOC4327740"
"XM_015762428.2","LOC4327741"
"XM_015762492.2","LOC4327741"
"XR_003240263.1","LOC4327742"
"XM_026022437.1","LOC4327742"
"XM_015758783.2","LOC4327742"
"XM_015758778.2","LOC4327743"
"XM_015758768.2","LOC4327743"
"XM_015758761.2","LOC4327743"
"XM_015774880.2","LOC4327744"
"XM_015774874.2","LOC4327744"
"XM_026025673.1","LOC4327745"
"XM_015774085.2","LOC4327746"
"XM_015774077.2","LOC4327747"
"XM_015765388.1","LOC4327748"
"XM_015765389.2","LOC4327748"
"XM_015765390.2","LOC4327749"
"XM_015760567.2","LOC4327750"
"XM_015760575.2","LOC4327751"
"XM_015760584.2","LOC4327752"
"XM_015769553.2","LOC4327753"
"XR_001547563.2","LOC107281755"
"XM_015784671.2","LOC107275956"
"XM_015779874.2","LOC4327244"
"XM_015755872.2","LOC4327245"
"XR_001539812.2","LOC107278895"
"XR_001539810.2","LOC107278893"
"XM_026022438.1","LOC4327247"
"XR_003240264.1","LOC112937617"
"XR_003240265.1","LOC112937617"
"XM_015755907.2","LOC4327248"
"XM_015772262.2","LOC4327249"
"XR_001543991.2","LOC107280201"
"XM_015784576.2","LOC9271250"
"XR_001547945.2","LOC9267008"
"XR_001548038.2","LOC9267008"
"XM_015794082.2","LOC4327253"
"XM_015794075.2","LOC4327253"
"XM_015794068.2","LOC4327253"
"XM_015794058.2","LOC9271913"
"XM_015778420.2","LOC4327255"
"XM_015778428.1","LOC4327255"
"XM_015766754.2","LOC4327256"
"XM_015769781.1","LOC4327257"
"XM_015772282.2","LOC4327259"
"XM_015790374.2","LOC4327260"
"XM_015766300.2","LOC4327261"
"XM_015759427.2","LOC4327226"
"XM_015759410.2","LOC4327226"
"XM_015759419.2","LOC4327226"
"XM_015791829.2","LOC4327227"
"XM_015766472.2","LOC4327229"
"XM_015779378.2","LOC9266238"
"XM_015779384.2","LOC9266238"
"XM_015788689.2","LOC9268702"
"XM_026022439.1","LOC4327230"
"XM_026022440.1","LOC112937619"
"XM_015773649.2","LOC4327232"
"XM_015770110.2","LOC4327233"
"XM_015772318.2","LOC4327234"
"XM_015763335.2","LOC4327235"
"XM_015763343.2","LOC4327235"
"XM_015763329.2","LOC4327236"
"XM_015763355.2","LOC4327237"
"XR_001547127.2","LOC107276583"
"XM_015789114.2","LOC107276583"
"XM_015761988.2","LOC4327238"
"XM_015761977.2","LOC4327239"
"XM_015766836.2","LOC4327240"
"XR_001542686.2","LOC107279879"
"unassigned_transcript_71","TRNAF-GAA_5"
"XM_015766756.2","LOC4327242"
"XM_015766364.2","LOC4327243"
"XM_015780721.2","LOC4326950"
"unassigned_transcript_72","TRNAK-UUU"
"XM_015773873.2","LOC4326952"
"XM_026022443.1","LOC4326952"
"XR_003240266.1","LOC107280313"
"XM_015774029.2","LOC9266458"
"XM_026022444.1","LOC4326954"
"XM_015778903.2","LOC4326954"
"XM_026022445.1","LOC4326954"
"XM_015778914.2","LOC4326954"
"XM_015766982.2","LOC4326955"
"XM_015772144.2","LOC4326956"
"XM_026022446.1","LOC4326956"
"XM_015795467.2","LOC4326957"
"XM_026022447.1","LOC112937620"
"XR_001548490.2","LOC4326958"
"XM_015795491.2","LOC4326958"
"XM_015795517.2","LOC4326959"
"XM_015766701.2","LOC4326960"
"XM_015768719.2","LOC9272710"
"XM_015790476.2","LOC4326963"
"XM_026022449.1","LOC4326963"
"XM_015757886.2","LOC4326964"
"XM_015757898.2","LOC4326965"
"XM_015757911.2","LOC4326966"
"XM_015757930.2","LOC4326967"
"XM_015757923.2","LOC4326967"
"XM_015757977.2","LOC4326936"
"XM_015757955.2","LOC4326937"
"XM_015757968.2","LOC4326937"
"XM_015757961.2","LOC4326937"
"XM_015757943.2","LOC4326937"
"XM_015757950.2","LOC4326937"
"unassigned_transcript_73","TRNAL-AAG_3"
"XM_015765988.2","LOC4326939"
"XM_015789820.2","LOC4326940"
"unassigned_transcript_74","TRNAL-AAG_4"
"XR_001545138.2","LOC107278319"
"XR_001542410.2","LOC4326942"
"XM_015765568.2","LOC4326942"
"XM_015765567.2","LOC4326943"
"XR_003240267.1","LOC112937621"
"XM_015766818.2","LOC4326944"
"XM_015766820.2","LOC4326944"
"XM_015766819.2","LOC4326944"
"XM_015766817.2","LOC4326945"
"XM_015775633.2","LOC4326946"
"XM_015760270.2","LOC4326948"
"XM_015760380.2","LOC4326949"
"XM_015765773.2","LOC4326814"
"XM_015765771.2","LOC4326815"
"XM_015765772.2","LOC4326815"
"XM_015765774.2","LOC4326816"
"XM_015766288.2","LOC4326817"
"XM_015766289.2","LOC4326818"
"XM_015766290.2","LOC4326818"
"XM_015779500.2","LOC107276721"
"XM_015784689.1","LOC107278086"
"XM_015784700.1","LOC107275521"
"XM_015791100.1","LOC4326820"
"XR_001547297.2","LOC9268338"
"XM_015766114.2","LOC4326821"
"XM_015766115.2","LOC4326821"
"XM_015790546.2","LOC9269340"
"XM_015792948.2","LOC107278572"
"XM_015792920.2","LOC107281825"
"XM_015792930.2","LOC9270959"
"XM_015792898.2","LOC4326823"
"XR_001547970.1","LOC4326824"
"XR_001547963.2","LOC4326824"
"XR_001547971.2","LOC4326824"
"XR_001547964.2","LOC4326824"
"XR_001547967.2","LOC4326824"
"XR_003240269.1","LOC4326824"
"XR_001547962.2","LOC4326824"
"XR_001547969.2","LOC4326824"
"XR_003240268.1","LOC4326824"
"XR_001547955.2","LOC4326825"
"XR_001547953.2","LOC4326825"
"XR_001547954.2","LOC4326825"
"XR_001547956.2","LOC4326825"
"XR_001547959.2","LOC4326825"
"XR_001547957.2","LOC4326825"
"XM_015792939.2","LOC4326826"
"XR_001547931.2","LOC9268621"
"XM_015792911.1","LOC9268621"
"XM_015765711.2","LOC4326828"
"XM_015765710.2","LOC4326829"
"XM_015787050.2","LOC4326830"
"XR_001542671.2","LOC4326831"
"XM_015766750.2","LOC4326831"
"XM_015765216.2","LOC9267191"
"XM_015771612.2","LOC4326784"
"XR_001542377.2","LOC4326785"
"XR_003240272.1","LOC4326785"
"XR_003240270.1","LOC4326785"
"XR_001542379.2","LOC4326785"
"XR_003240271.1","LOC4326785"
"XM_015765386.2","LOC4326788"
"XM_026022453.1","LOC9268552"
"XM_026022454.1","LOC9268552"
"XM_026022455.1","LOC9268552"
"XR_003240377.1","LOC112937717"
"XR_003240365.1","LOC112937705"
"XR_003240353.1","LOC112937690"
"XM_015780476.2","LOC4326790"
"XM_026022456.1","LOC107278457"
"XM_015780386.2","LOC9266773"
"XM_015780378.2","LOC9266773"
"XM_015770248.2","LOC4326791"
"XM_015770250.2","LOC4326791"
"XM_026022457.1","LOC4326791"
"XM_015770240.2","LOC4326791"
"XM_015772589.2","LOC4326792"
"XM_015761958.2","LOC4326793"
"XM_026022458.1","LOC4326794"
"XM_015761935.2","LOC4326794"
"XM_026022459.1","LOC4326794"
"XM_015763988.1","LOC4326795"
"XM_026022460.1","LOC4326796"
"XM_015763998.2","LOC4326521"
"XM_026026562.1","LOC4326522"
"XM_015761300.2","LOC4326523"
"XM_015761305.2","LOC4326524"
"XR_001542329.2","LOC9272650"
"XM_026022461.1","LOC112937622"
"XM_015765143.2","LOC4326526"
"XM_015765137.2","LOC4326526"
"XR_001542328.2","LOC9271510"
"XM_015765155.2","LOC4326527"
"XM_015784718.2","LOC4326528"
"XM_015787446.2","LOC4326529"
"XM_015776671.2","LOC9267890"
"XM_015774032.2","LOC4326530"
"XM_015794007.2","LOC4326531"
"XM_015793943.2","LOC4326532"
"XM_015793938.2","LOC4326532"
"XM_015793954.2","LOC107278627"
"XM_026022463.1","LOC4326533"
"XM_026022464.1","LOC4326533"
"XM_026022462.1","LOC4326533"
"XR_003240273.1","LOC112937624"
"XM_015790792.1","LOC4326534"
"XM_015790311.1","LOC4326535"
"XM_015784728.2","LOC9266490"
"XM_015788225.2","LOC4326536"
"XM_015794812.2","LOC107276608"
"XM_015794921.2","LOC4326537"
"XM_015755219.2","LOC4326538"
"XM_015786859.2","LOC4326539"
"XM_015766813.2","LOC4326504"
"XM_015766682.1","LOC4326505"
"XM_015766455.2","LOC4326507"
"XR_001542602.2","LOC4326508"
"XM_015766456.2","LOC4326508"
"XM_015777708.2","LOC4326509"
"XM_015772360.2","LOC4326510"
"XM_015769649.2","LOC4326511"
"XM_015771584.2","LOC4326512"
"XM_026022465.1","LOC4326513"
"XM_015765824.2","LOC4326513"
"XM_015765823.2","LOC4326513"
"XM_015765857.2","LOC4326515"
"XM_015765858.2","LOC4326516"
"XM_015786617.2","LOC4326517"
"XM_015771567.1","LOC4326518"
"XM_015766296.2","LOC4326519"
"XM_015766295.2","LOC4326520"
"XM_026022467.1","LOC112937625"
"XM_015778548.2","LOC4326050"
"XM_026022466.1","LOC4326050"
"XM_015787011.2","LOC4326052"
"XM_015784750.1","LOC107281124"
"XM_015784764.1","LOC107275494"
"XM_015784776.1","LOC107276686"
"XM_015790692.2","LOC4326053"
"XM_015771876.2","LOC4326054"
"XM_026022468.1","LOC9269629"
"XM_015763186.2","LOC9269629"
"XR_001545999.2","LOC4326056"
"XR_003240274.1","LOC107280423"
"XR_001544515.2","LOC107280423"
"XM_015763264.2","LOC4326058"
"XM_026022469.1","LOC4326058"
"XR_001545877.2","LOC107276921"
"XR_001541104.2","LOC4326059"
"XR_001541134.2","LOC4326059"
"XR_001541130.2","LOC4326059"
"XR_001541133.2","LOC4326059"
"XR_001541151.2","LOC4326059"
"XR_001541149.2","LOC4326059"
"XR_001541146.2","LOC4326059"
"XR_001541142.2","LOC4326059"
"XR_001541153.2","LOC4326059"
"XR_001541147.2","LOC4326059"
"XR_001541145.2","LOC4326059"
"XR_003240278.1","LOC4326059"
"XR_001541124.2","LOC4326059"
"XR_001541129.2","LOC4326059"
"XR_001541108.2","LOC4326059"
"XR_001541107.2","LOC4326059"
"XR_003240277.1","LOC4326059"
"XR_001541127.2","LOC4326059"
"XR_001541132.2","LOC4326059"
"XR_001541109.2","LOC4326059"
"XR_001541102.2","LOC4326059"
"XR_003240280.1","LOC4326059"
"XR_001541116.2","LOC4326059"
"XR_001541110.2","LOC4326059"
"XR_001541128.2","LOC4326059"
"XR_001541100.2","LOC4326059"
"XR_001541099.2","LOC4326059"
"XR_001541140.2","LOC4326059"
"XR_001541135.2","LOC4326059"
"XR_001541112.2","LOC4326059"
"XR_001541098.2","LOC4326059"
"XR_001541125.2","LOC4326059"
"XR_003240281.1","LOC4326059"
"XR_001541131.2","LOC4326059"
"XR_003240279.1","LOC4326059"
"XR_003240282.1","LOC4326059"
"XR_003240276.1","LOC4326059"
"XR_001541123.2","LOC4326059"
"XR_003240275.1","LOC4326061"
"XM_015755386.2","LOC4326061"
"XM_015755383.2","LOC4326061"
"XM_015755375.2","LOC4326061"
"XM_015755371.2","LOC4326061"
"XM_015755363.2","LOC4326061"
"XM_015784802.2","LOC9272697"
"XM_026025920.1","LOC4326064"
"XM_026022472.1","LOC4326065"
"XM_015786380.2","LOC9270244"
"XM_015786327.2","LOC4326066"
"XM_026022470.1","LOC4325822"
"XM_015786305.2","LOC4325823"
"XM_015786298.2","LOC4325823"
"XR_003240283.1","LOC112937627"
"XR_003240284.1","LOC112937627"
"XM_015786354.2","LOC4325824"
"XM_026022471.1","LOC9268868"
"XM_015786412.2","LOC4325826"
"XM_015786419.2","LOC4325826"
"XM_015786366.2","LOC4325827"
"XM_015786442.2","LOC4325828"
"XM_015786435.2","LOC4325828"
"XM_026022474.1","LOC112937626"
"XM_026022473.1","LOC4325829"
"XM_015786425.2","LOC4325830"
"XM_015795620.2","LOC4325831"
"XM_015795611.2","LOC4325832"
"XM_026025940.1","LOC112939111"
"XR_003240285.1","LOC112937628"
"XM_015795600.2","LOC4325834"
"XM_015795644.1","LOC9267875"
"XM_015795591.2","LOC4325836"
"XR_001542750.2","LOC4325837"
"XM_015767053.2","LOC4325837"
"XM_026022476.1","LOC4325837"
"XM_015767049.2","LOC4325837"
"XM_015755290.2","LOC4325838"
"XM_015755283.2","LOC4325838"
"XM_015755322.1","LOC4325839"
"XM_015755311.2","LOC4325755"
"XM_015755303.2","LOC4325755"
"XM_015755272.2","LOC4325756"
"XM_015755264.2","LOC4325756"
"XM_026022477.1","LOC9266620"
"XM_015772248.2","LOC4325758"
"XM_015766906.2","LOC4325759"
"XM_015766904.2","LOC4325759"
"XM_015766905.2","LOC4325759"
"XR_001542698.2","LOC107279881"
"XR_001547272.2","LOC107281494"
"XM_015791825.1","LOC4325760"
"XM_015766829.2","LOC4325761"
"XM_015766831.2","LOC4325762"
"XM_015766177.2","LOC4325763"
"XM_015784835.2","LOC9269614"
"XM_015766178.2","LOC4325764"
"XM_015766179.2","LOC4325765"
"XM_015786987.2","LOC4325766"
"XM_015767375.2","LOC4325768"
"XM_015780491.2","LOC4325769"
"XM_015777913.2","LOC4325770"
"XM_015778066.1","LOC4325770"
"XM_015777991.1","LOC4325770"
"XM_015765807.2","LOC4325771"
"XM_015765806.1","LOC4325772"
"XM_026022480.1","LOC4325772"
"XM_015773025.2","LOC4325738"
"XM_015766999.2","LOC4325739"
"XM_015765784.2","LOC4325740"
"XM_015765783.2","LOC9266794"
"XM_015765782.2","LOC107279853"
"XM_015790555.2","LOC4325741"
"XM_015788572.2","LOC4325743"
"XM_015789026.2","LOC4325744"
"XM_015755769.2","LOC4325745"
"XM_015755778.2","LOC4325746"
"XM_015785661.2","LOC4325747"
"XM_015764568.2","LOC4325748"
"XM_015757222.2","LOC4325749"
"XM_015757221.2","LOC4325749"
"XR_001540192.2","LOC4325750"
"XR_001540190.2","LOC4325750"
"XR_001540191.2","LOC4325750"
"XM_026022484.1","LOC4325750"
"XM_015757223.2","LOC4325750"
"XM_015757240.2","LOC4325751"
"XM_015766387.2","LOC4325753"
"XR_003240286.1","LOC4325754"
"XM_015759025.2","LOC4325754"
"XR_001540751.2","LOC4325399"
"XM_015759037.2","LOC4325399"
"XM_015759048.1","LOC4325400"
"XM_015784848.2","LOC9270289"
"XM_015773890.2","LOC4325401"
"XM_015790594.2","LOC4325402"
"XM_015765636.2","LOC9270336"
"XM_015766564.2","LOC4325404"
"XM_015788522.2","LOC4325406"
"XM_015767942.2","LOC4325407"
"XM_015775573.2","LOC4325408"
"XM_015790742.2","LOC107277511"
"XM_015790493.2","LOC107277351"
"XM_026022486.1","LOC107276077"
"XM_015788152.2","LOC107276077"
"XR_001542483.2","LOC4325409"
"XM_015766014.2","LOC4325409"
"XM_015777038.2","LOC9271788"
"XM_015765813.2","LOC4325410"
"XR_003240287.1","LOC112937629"
"XM_015787362.2","LOC4325412"
"XM_015777185.2","LOC4325413"
"XM_015769331.2","LOC4325414"
"XM_015769324.2","LOC4325414"
"XM_026025988.1","LOC4325415"
"XM_015765511.1","LOC4325416"
"XM_015765512.1","LOC4325416"
"XM_015765510.2","LOC4325381"
"XM_015772270.2","LOC4325382"
"XM_015769945.2","LOC4325383"
"XM_015789645.2","LOC4325384"
"XM_015784899.2","LOC4325385"
"XM_015773544.2","LOC4325387"
"XM_015776298.2","LOC4325388"
"XR_001542727.2","LOC4325389"
"XM_015767001.2","LOC4325389"
"XM_015766603.2","LOC4325390"
"XM_015766604.2","LOC4325390"
"XM_026026036.1","LOC107277494"
"XM_015794403.2","LOC4325391"
"XR_001548256.2","LOC4325392"
"XM_015794453.2","LOC4325392"
"XM_015794498.2","LOC4325392"
"XM_015794507.2","LOC4325392"
"XM_015794462.2","LOC4325392"
"XM_015794447.2","LOC4325392"
"XM_026022488.1","LOC4325392"
"XM_026022489.1","LOC4325392"
"XM_026022487.1","LOC4325392"
"XM_015794489.2","LOC4325392"
"XM_015794381.2","LOC4325393"
"XM_015794391.2","LOC4325393"
"XM_015794411.2","LOC4325394"
"XM_015794417.2","LOC4325394"
"XM_015794522.2","LOC4325395"
"XM_015779843.2","LOC9272186"
"XM_015778240.2","LOC9267950"
"unassigned_transcript_75","TRNAA-UGC"
"XM_015767030.2","LOC4325237"
"XM_015793612.1","LOC4325238"
"XM_015793620.1","LOC4325238"
"XM_015793630.2","LOC4325239"
"unassigned_transcript_76","TRNAF-GAA_6"
"XM_015793638.2","LOC4325241"
"XM_015793651.2","LOC4325242"
"XM_015793659.2","LOC4325242"
"XM_015793679.2","LOC4325243"
"XM_026022490.1","LOC4325243"
"XM_015793686.2","LOC4325243"
"XR_003240288.1","LOC112937631"
"XR_001542670.2","LOC4325244"
"XM_015766729.2","LOC4325244"
"XM_015766731.2","LOC4325244"
"unassigned_transcript_77","TRNAR-UCU"
"XM_026022491.1","LOC9271196"
"XM_015787109.2","LOC9271196"
"XM_015772478.2","LOC9268634"
"XM_015779852.2","LOC107277144"
"XR_001542748.2","LOC4325249"
"XR_001542749.2","LOC4325249"
"XM_015767028.2","LOC4325249"
"XM_015767023.1","LOC4325249"
"XM_015760737.2","LOC4325250"
"XM_026022492.1","LOC107279348"
"XM_026022493.1","LOC107279348"
"XM_015760686.2","LOC107279348"
"XM_015760692.2","LOC107279348"
"XM_015760696.2","LOC107279348"
"XM_015760710.2","LOC4324546"
"XM_015760727.2","LOC4324546"
"XM_015760721.2","LOC4324546"
"XM_015760731.2","LOC4324546"
